,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0,9.01E-01,9.64E-04,9.28E-04,9.28E-04,9.28E-04,9.28E-04,9.28E-04,9.28E-04,9.28E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,9.27E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.84E-04,8.83E-04,8.83E-04,8.83E-04,8.83E-04,8.83E-04,8.83E-04,8.83E-04,8.83E-04,8.83E-04,8.83E-04,8.83E-04,8.43E-04,8.43E-04,8.42E-04,8.42E-04,8.42E-04,8.42E-04,8.42E-04,8.42E-04,8.42E-04,8.42E-04,8.42E-04,8.42E-04,8.41E-04,8.41E-04,8.03E-04,8.02E-04,8.02E-04,8.02E-04,8.02E-04,8.02E-04,8.02E-04,8.02E-04,8.02E-04,8.02E-04,7.64E-04,7.64E-04,7.64E-04,7.64E-04,7.28E-04,7.28E-04,7.28E-04,7.28E-04,7.28E-04,6.94E-04,6.94E-04,6.94E-04,6.94E-04,6.94E-04,6.93E-04,6.61E-04,6.29E-04,6.00E-04,5.99E-04,5.72E-04,5.71E-04,5.71E-04,5.45E-04,5.44E-04,5.44E-04,5.40E-04,5.18E-04,4.71E-04,4.28E-04,4.27E-04,4.27E-04,4.27E-04,3.88E-04,3.88E-04,3.52E-04,3.35E-04,3.21E-04,3.05E-04,3.05E-04,3.05E-04,2.78E-04,2.28E-04,2.17E-04,1.62E-04,1.28E-04,7.83E-05,6.51E-05,8.03E-06,3.61E-06,1.93E-07,1.13E-07,2.18E-08,9.76E-14,1.04E-17
1,0.90105,0.0010096,0.0010096,0.00096187,0.00092524,0.00092524,0.00092524,0.00092524,0.00092524,0.00092524,0.00092524,0.00092491,0.00092481,0.00092481,0.00092477,0.00092477,0.00092476,0.00092475,0.00092474,0.00092472,0.00092463,0.0009246,0.0009246,0.0009246,0.00092459,0.00092459,0.00092457,0.00092457,0.00092455,0.00092455,0.00092454,0.00092452,0.00092452,0.00092452,0.00092452,0.00088215,0.00088212,0.00088212,0.00088212,0.00088212,0.00088212,0.00088212,0.00088207,0.00088207,0.00088207,0.00088207,0.00088207,0.00088207,0.00088138,0.00088138,0.00088138,0.00088134,0.00088119,0.00088109,0.00088101,0.00088094,0.00088087,0.00088087,0.00088083,0.00088082,0.00088079,0.00088079,0.00084073,0.0008406,0.00084003,0.00084003,0.00083992,0.0008399,0.00083965,0.00083966,0.00083966,0.00083959,0.00083951,0.00083946,0.00083935,0.00083921,0.00080085,0.00080028,0.00080028,0.00079996,0.00079996,0.00079983,0.00079974,0.00079974,0.00079974,0.00079968,0.00076254,0.00076231,0.00076186,0.00076172,0.00072614,0.0007261,0.0007261,0.00072596,0.0007258,0.00069208,0.000692,0.00069176,0.00069179,0.00069175,0.00069164,0.00065923,0.00062752,0.00059826,0.0005978,0.00057019,0.00056975,0.00056953,0.00054348,0.00054303,0.00054262,0.0005387,0.00051695,0.00047024,0.00042686,0.00042637,0.00042614,0.00042592,0.00038724,0.00038696,0.00035125,0.00033454,0.00032024,0.00030412,0.00030392,0.00030392,0.00027719,0.00022774,0.00021654,0.00016208,0.00012742,7.81E-05,6.50E-05,8.01E-06,3.60E-06,1.92E-07,1.12E-07,2.17E-08,9.74E-14,1.04E-17
2,0.902,0.00098868,0.00098853,0.00098851,0.00094201,0.00094174,0.00090608,0.00090608,0.00090608,0.00090608,0.00090608,0.00090608,0.00090608,0.00090576,0.00090565,0.00090565,0.00090562,0.00090562,0.00090562,0.00090559,0.00090557,0.00090553,0.0009055,0.00090549,0.00090545,0.00090545,0.00090545,0.00090544,0.00090542,0.00090541,0.00090541,0.00090539,0.00090537,0.00090537,0.00090537,0.00090537,0.00089739,0.00086388,0.00086385,0.00086385,0.00086385,0.00086385,0.00086385,0.00086385,0.0008638,0.0008638,0.0008638,0.0008638,0.0008638,0.0008638,0.00086313,0.00086313,0.00086313,0.00086308,0.00086294,0.00086284,0.00086276,0.00086273,0.00086269,0.00086263,0.00086263,0.00086259,0.00086255,0.00086255,0.00085498,0.00082332,0.00082319,0.00082264,0.00082264,0.00082253,0.00082251,0.00082226,0.00082227,0.00082227,0.0008222,0.00082212,0.00082207,0.00082183,0.00078426,0.0007837,0.0007837,0.00078339,0.00078339,0.00078326,0.00078317,0.00078318,0.00078317,0.00074675,0.00074655,0.00074608,0.00074594,0.0007111,0.00071107,0.00071106,0.00071092,0.00071078,0.00070477,0.0006778,0.00067767,0.00067746,0.00067744,0.00067742,0.00067731,0.00061452,0.00058587,0.00058542,0.00055838,0.00055795,0.00055774,0.00053222,0.00053179,0.00053138,0.00052756,0.00050624,0.00046051,0.00041803,0.00041732,0.0004171,0.00037928,0.00037896,0.00046499,0.00034398,0.00035767,0.00031367,0.00029763,0.00029763,0.00029621,0.00022305,0.00021206,0.00022645,0.00012478,7.65E-05,6.36E-05,8.56E-06,4.20E-06,2.06E-07,1.43E-07,3.31E-08,1.62E-13,2.75E-17
3,0.90104,0.0010414,0.0010414,0.0010414,0.0010414,0.0010414,0.00099254,0.00099243,0.00094551,0.00091584,0.00091584,0.00091584,0.00091584,0.00091584,0.00091584,0.00091584,0.00091552,0.00091538,0.00091541,0.00091541,0.00091538,0.00091538,0.00091537,0.00091535,0.00091533,0.00091529,0.00091526,0.00091524,0.00091521,0.00091521,0.00091521,0.0009152,0.0009152,0.00091518,0.00091517,0.00091516,0.00091516,0.00091514,0.00091513,0.00091513,0.00091513,0.00091513,0.00087319,0.00087316,0.00087316,0.00087316,0.00087316,0.00087316,0.00087316,0.00087243,0.00087243,0.00087243,0.00087239,0.00087224,0.00087215,0.00087214,0.00087206,0.00087203,0.00087199,0.00087193,0.00087193,0.00087188,0.00087188,0.00087185,0.00087185,0.00083151,0.00083151,0.00083142,0.00083137,0.00083112,0.00083113,0.00083113,0.00083106,0.00083099,0.00083093,0.00083082,0.00083069,0.00079215,0.00079215,0.00079183,0.00079183,0.00079171,0.00079161,0.00079162,0.00079161,0.00079156,0.00075479,0.00075456,0.00075412,0.00075398,0.00071877,0.00071873,0.00071872,0.00071858,0.00071843,0.00068505,0.00068498,0.00068474,0.00068476,0.00068472,0.00068461,0.0006525,0.00062114,0.00059218,0.00059173,0.0005644,0.00056396,0.00056375,0.00053796,0.00053752,0.0005371,0.0005117,0.00048847,0.00046547,0.00042253,0.00042203,0.00042181,0.00042159,0.00038331,0.00038303,0.00034768,0.00033115,0.00031699,0.00030103,0.00030084,0.00030084,0.00027438,0.00022543,0.00021434,0.00016043,0.00012612,7.09E-05,6.43E-05,7.93E-06,3.56E-06,1.90E-07,1.11E-07,2.15E-08,9.64E-14,9.45E-18
4,0.90105,0.00092769,0.00092769,0.00092769,0.00092769,0.00092769,0.00092769,0.00092769,0.00092735,0.00092725,0.00092725,0.00092722,0.00092722,0.00092721,0.00092719,0.00092719,0.00092717,0.00092712,0.00092709,0.00092707,0.00092703,0.00092704,0.00092704,0.00092704,0.00092703,0.00092701,0.00092701,0.00092699,0.00092699,0.00092698,0.00092696,0.00092696,0.00092696,0.00092696,0.00088448,0.00088445,0.00088445,0.00088445,0.00088445,0.00088445,0.00088445,0.0008844,0.0008844,0.0008844,0.0008844,0.0008844,0.0008844,0.00088371,0.00088371,0.00088371,0.00088367,0.00088351,0.00088343,0.00088341,0.00088333,0.0008833,0.00088326,0.0008832,0.0008832,0.00088315,0.00088312,0.00088312,0.00084294,0.00084282,0.00084224,0.00084224,0.00084214,0.00084212,0.00084187,0.00084187,0.00084187,0.0008418,0.00084173,0.00084168,0.00084157,0.00084143,0.00080297,0.00080239,0.00080239,0.00080207,0.00080207,0.00080194,0.00080185,0.00080186,0.00080185,0.0008018,0.00076455,0.00076432,0.00076387,0.00076373,0.00072806,0.00072801,0.00072801,0.00072787,0.00072771,0.00069391,0.00069383,0.00069359,0.00069361,0.00069357,0.00069346,0.00066094,0.00062917,0.00059984,0.00059938,0.0005717,0.00057125,0.00057104,0.00054491,0.00054447,0.00054405,0.00051832,0.00049478,0.00047149,0.00046672,0.00042799,0.00042726,0.00042704,0.00038826,0.00038798,0.00035218,0.00033543,0.00032109,0.00030493,0.00030473,0.00030473,0.00027792,0.00022834,0.0002171,0.00016251,0.00012775,7.18E-05,6.51E-05,8.03E-06,3.61E-06,1.93E-07,1.13E-07,2.18E-08,9.76E-14,9.58E-18
5,0.90101,0.001011,0.00092646,0.00092646,0.00092646,0.00092646,0.00092646,0.00092646,0.00092646,0.00092612,0.00092602,0.00092602,0.00092598,0.00092596,0.00092596,0.00092594,0.0009259,0.00092587,0.00092585,0.00092581,0.00092581,0.00092581,0.00092581,0.0009258,0.00092579,0.00092579,0.00092576,0.00092576,0.00092575,0.00092573,0.00092573,0.00092573,0.00092573,0.00088332,0.00088329,0.00088329,0.00088329,0.00088329,0.00088329,0.00088329,0.00088323,0.00088323,0.00088323,0.00088323,0.00088323,0.00088323,0.00088254,0.00088254,0.00088254,0.0008825,0.00088234,0.00088225,0.00088224,0.00088216,0.00088214,0.00088209,0.00088203,0.00088203,0.00088199,0.00088198,0.00088195,0.00088195,0.00084183,0.0008417,0.00084113,0.00084113,0.00084103,0.00084101,0.00084076,0.00084076,0.00084076,0.00084069,0.00084062,0.00084056,0.00084045,0.00084032,0.0008019,0.00080133,0.00080133,0.00080101,0.00080101,0.00080088,0.00080079,0.0008008,0.00080079,0.00080073,0.00079385,0.00076355,0.00076331,0.00076286,0.00076272,0.00072705,0.00072705,0.00072691,0.00072675,0.00069299,0.00069291,0.00069268,0.0006927,0.00069265,0.00069254,0.00066007,0.00062834,0.00059904,0.00059859,0.00059412,0.00057094,0.0005705,0.00057028,0.00054375,0.00054333,0.00051763,0.00049412,0.00047087,0.00042747,0.00042693,0.0004267,0.00042648,0.00038775,0.00038749,0.00035172,0.00035003,0.00033498,0.00030452,0.00030432,0.00030432,0.00030296,0.00022804,0.00021682,0.00016229,0.00012759,7.17E-05,6.51E-05,8.02E-06,3.60E-06,1.93E-07,1.12E-07,2.37E-08,9.75E-14,1.04E-17
6,0.90109,0.0010022,0.00099452,0.0009944,0.00094749,0.00094749,0.00091834,0.00091834,0.00091834,0.00091834,0.00091834,0.00091834,0.00091834,0.0009179,0.0009179,0.00091787,0.00091787,0.00091786,0.00091784,0.00091784,0.00091782,0.00091778,0.00091775,0.00091774,0.0009177,0.0009177,0.0009177,0.00091769,0.00091769,0.00091767,0.00091767,0.00091765,0.00091765,0.00091764,0.00091762,0.00091762,0.00091762,0.00091762,0.00091091,0.00087557,0.00087554,0.00087554,0.00087554,0.00087554,0.00087554,0.00087554,0.00087551,0.00087551,0.00087551,0.00087551,0.00087551,0.00087551,0.0008748,0.0008748,0.0008748,0.00087476,0.00087461,0.00087452,0.00087451,0.00087443,0.00087441,0.00087436,0.0008743,0.0008743,0.00087426,0.00087425,0.00087422,0.00087422,0.00083434,0.00083365,0.00083338,0.00083339,0.00083339,0.00083332,0.00083325,0.00083319,0.00083308,0.00083295,0.00079489,0.00079399,0.00079399,0.00079386,0.00079377,0.00079378,0.00079377,0.00079371,0.00078679,0.00075685,0.00075663,0.00075617,0.00075603,0.00072072,0.00072068,0.00072054,0.00072039,0.00068692,0.00068684,0.0006866,0.00068662,0.00068659,0.00068647,0.00065431,0.00062284,0.0005938,0.00059334,0.00056594,0.0005655,0.00056528,0.00053942,0.00053898,0.00053857,0.00053467,0.00051309,0.00046674,0.00042368,0.00042319,0.00042296,0.00042274,0.00038436,0.00038408,0.00034863,0.00033205,0.00031786,0.00030186,0.00030165,0.00030165,0.00027512,0.00024674,0.00023463,0.00017562,0.00012647,7.76E-05,6.45E-05,7.95E-06,3.90E-06,1.91E-07,1.11E-07,2.35E-08,1.05E-13,1.13E-17
7,0.90274,0.0015466,0.00089523,0.00089523,0.00089523,0.00089523,0.00089523,0.00089523,0.00089523,0.00089491,0.00089481,0.00089481,0.00089478,0.00089478,0.00089477,0.00089476,0.00089475,0.00089473,0.00089469,0.00089466,0.00089464,0.00089461,0.00089461,0.00089461,0.00089461,0.0008946,0.00089458,0.00089458,0.00089456,0.00089456,0.00089455,0.00089453,0.00089453,0.00089453,0.00089453,0.00085354,0.00085351,0.00085351,0.00085351,0.00085351,0.00085351,0.00085351,0.00085347,0.00085347,0.00085347,0.00085347,0.00085347,0.00085347,0.00085279,0.00085279,0.00085279,0.00085276,0.00085261,0.00085252,0.00085251,0.00085243,0.00085241,0.00085237,0.00085231,0.00085231,0.00085226,0.00085226,0.00085223,0.00085223,0.00081346,0.00081333,0.00081278,0.00081278,0.00081268,0.00081266,0.00081242,0.00081242,0.00081242,0.00081236,0.00081229,0.00081223,0.00081212,0.00081199,0.00077488,0.00077432,0.00077432,0.00077401,0.00077401,0.00077389,0.0007738,0.00077381,0.0007738,0.00077375,0.00073781,0.00073758,0.00073715,0.00073701,0.00070259,0.00070254,0.00070255,0.00070241,0.00070226,0.00066964,0.00066956,0.00066935,0.00066933,0.00066931,0.0006692,0.00063782,0.00060717,0.00057885,0.00057841,0.0005517,0.00055127,0.00055106,0.00052585,0.00052542,0.00052502,0.00050019,0.00047747,0.00045499,0.00041302,0.00041254,0.00041232,0.0004121,0.00037468,0.00037441,0.00033986,0.00032369,0.00030986,0.00029426,0.0002682,0.00022036,0.00020951,0.00015682,0.00012329,6.93E-05,6.29E-05,7.75E-06,3.48E-06,1.29E-06,1.09E-07,2.10E-08,9.42E-14,1.10E-17
8,0.9018,0.0010636,0.0010222,0.0010222,0.0010222,0.0010222,0.0010222,0.0010222,0.00093571,0.00089903,0.00089903,0.00089903,0.00089903,0.00089903,0.00089903,0.00089903,0.00089868,0.00089859,0.00089859,0.00089856,0.00089856,0.00089854,0.00089853,0.00089852,0.00089851,0.00089847,0.00089843,0.00089842,0.00089839,0.00089839,0.00089839,0.00089838,0.00089837,0.00089836,0.00089835,0.00089834,0.00089834,0.00089832,0.0008983,0.0008983,0.0008983,0.0008983,0.00085707,0.00085707,0.00085707,0.00085707,0.00085707,0.00085707,0.0008564,0.0008564,0.0008564,0.00085635,0.0008562,0.00085611,0.00085611,0.00085603,0.000856,0.00085596,0.0008559,0.0008559,0.00085586,0.00085585,0.00085582,0.00085582,0.00084836,0.00081689,0.00081676,0.00087627,0.00081621,0.00081621,0.00081611,0.00081609,0.00081585,0.00081585,0.00081585,0.00081579,0.00081571,0.00081555,0.00081543,0.00080862,0.00077815,0.00077759,0.00077759,0.00077729,0.00077729,0.00077706,0.00077707,0.00077706,0.00077701,0.00074093,0.00074026,0.00074012,0.00070557,0.00070551,0.00070551,0.00070538,0.00070522,0.00067249,0.00067239,0.00067217,0.00067216,0.00067213,0.00064051,0.00060973,0.0005813,0.00058085,0.00055403,0.00055359,0.00057604,0.00055339,0.00052811,0.00052723,0.0005023,0.00047949,0.00045276,0.00041428,0.00041406,0.00041384,0.00041075,0.00037601,0.0003413,0.000371,0.00032506,0.00029552,0.00029531,0.00029531,0.0003211,0.00026385,0.0002104,0.00015749,0.00013516,6.96E-05,6.31E-05,7.78E-06,3.82E-06,2.23E-07,1.30E-07,2.51E-08,1.12E-13,1.72E-17
9,0.90114,0.0011365,0.00095764,0.00094993,0.00092113,0.00092113,0.00092113,0.00092113,0.00092113,0.00092113,0.00092113,0.0009208,0.0009207,0.0009207,0.00092067,0.00092067,0.00092066,0.00092064,0.00092063,0.00092062,0.00092058,0.00092054,0.00092053,0.00092049,0.00092049,0.00092049,0.00092049,0.00092048,0.00092046,0.00092046,0.00092044,0.00092044,0.00092043,0.00092041,0.00092041,0.00092041,0.00092041,0.00087824,0.0008782,0.0008782,0.0008782,0.0008782,0.0008782,0.0008782,0.00087816,0.00087816,0.00087816,0.00087816,0.00087816,0.00087816,0.00087747,0.00087747,0.00087747,0.00087743,0.00087727,0.00087718,0.00087717,0.00087707,0.00087703,0.00087696,0.00087696,0.00087692,0.00087691,0.00087688,0.00087688,0.00083699,0.00083686,0.0008363,0.0008363,0.00083619,0.00083617,0.00083592,0.00083593,0.00083593,0.00083586,0.00083579,0.00083573,0.00083562,0.00083549,0.0007973,0.00079672,0.00079672,0.00079619,0.00079619,0.00079619,0.00079613,0.00075915,0.00075892,0.00075848,0.00075834,0.00072292,0.00072287,0.00072287,0.00072273,0.00072258,0.00068901,0.00068893,0.00068869,0.00068871,0.00068867,0.00068857,0.00065627,0.00062473,0.0005956,0.00059515,0.00056766,0.00056722,0.00056701,0.00054106,0.00054062,0.00054021,0.00051466,0.00049128,0.00046816,0.00042497,0.00042447,0.00042425,0.00042403,0.00038552,0.00038525,0.00034969,0.00033306,0.00031882,0.00030277,0.00030257,0.00030257,0.00027596,0.00022673,0.00021557,0.00016136,0.00012685,7.13E-05,6.47E-05,7.97E-06,3.58E-06,1.92E-07,1.12E-07,2.16E-08,9.70E-14,9.51E-18
